"sex","age","region","placesize","depress","income","ls","marital","workab"
"MALE",41,"Lubelskie","URBAN BELOW 20,000",0,-8,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",21,"Dolnoslaskie","RURAL AREAS",11,1200,"MIXED","SINGLE",NA
"MALE",61,"Wielkopolskie","URBAN 100,000-200,000",0,3200,"DELIGHTED","MARRIED","NO"
"MALE",76,"Malopolskie","URBAN 100,000-200,000",12,1200,"MIXED","MARRIED","NO"
"FEMALE",54,"Lubelskie","RURAL AREAS",5,-8,"MIXED","MARRIED","NO"
"MALE",42,"Mazowieckie","URBAN 100,000-200,000",10,497,"MIXED","SINGLE","NO"
"FEMALE",36,"Lubelskie","URBAN 20,000-100,000",3,-8,"PLEASED","MARRIED","NO"
"MALE",42,"Pomorskie","URBAN 20,000-100,000",3,-8,"PLEASED","MARRIED","NO"
"FEMALE",59,"Lubelskie","URBAN 100,000-200,000",16,690,"MIXED","WIDOWED","NO"
"FEMALE",74,"Opolskie","RURAL AREAS",10,1000,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",62,"Mazowieckie","URBAN 100,000-200,000",15,1900,"PLEASED","MARRIED","NO"
"FEMALE",72,"Mazowieckie","URBAN BELOW 20,000",16,1120,"PLEASED","MARRIED","NO"
"MALE",24,"Slaskie","URBAN 100,000-200,000",6,1800,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",47,"Slaskie","RURAL AREAS",13,1700,"PLEASED","WIDOWED","NO"
"MALE",57,"Dolnoslaskie","URBAN BELOW 20,000",1,1600,"MIXED","DIVORCED","NO"
"MALE",53,"Dolnoslaskie","RURAL AREAS",4,2500,"DELIGHTED","MARRIED","NO"
"FEMALE",79,"Podlaskie","RURAL AREAS",10,1000,"MIXED","WIDOWED","NO"
"FEMALE",47,"Wielkopolskie","URBAN 100,000-200,000",4,1800,"MIXED","DIVORCED","NO"
"FEMALE",25,"Wielkopolskie","RURAL AREAS",5,-8,"MIXED","MARRIED","NO"
"MALE",27,"Mazowieckie","RURAL AREAS",0,-8,"DELIGHTED","MARRIED","NO"
"MALE",36,"Malopolskie","URBAN 500,000 AND OVER",0,4000,"PLEASED","SINGLE","NO"
"FEMALE",45,"Lodzkie","URBAN 500,000 AND OVER",2,1400,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",55,"Kujawsko-pomorskie","URBAN 20,000-100,000",0,3000,"PLEASED","MARRIED","NO"
"MALE",55,"Podlaskie","URBAN BELOW 20,000",3,1720,"PLEASED","MARRIED","NO"
"MALE",80,"Wielkopolskie","URBAN 100,000-200,000",10,1100,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",54,"Slaskie","RURAL AREAS",4,1000,"PLEASED","MARRIED","NO"
"FEMALE",22,"Malopolskie","URBAN 500,000 AND OVER",0,-8,"PLEASED","SINGLE",NA
"FEMALE",34,"Kujawsko-pomorskie","URBAN 200,000-500,000",6,NA,"MIXED","MARRIED","NO"
"MALE",39,"Slaskie","URBAN 20,000-100,000",1,5000,"PLEASED","MARRIED","NO"
"FEMALE",61,"Pomorskie","RURAL AREAS",4,1300,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",36,"Pomorskie","URBAN 100,000-200,000",0,1500,"PLEASED","MARRIED","NO"
"FEMALE",52,"Podkarpackie","URBAN 100,000-200,000",2,1800,"MIXED","DIVORCED","NO"
"FEMALE",63,"Podlaskie","RURAL AREAS",5,2000,"PLEASED","MARRIED","NO"
"MALE",42,"Warminsko-mazurskie","URBAN 100,000-200,000",5,780,"MOSTLY DISSATISFIED","SINGLE","NO"
"MALE",65,"Wielkopolskie","RURAL AREAS",3,1300,"PLEASED","MARRIED","NO"
"FEMALE",92,"Podlaskie","RURAL AREAS",15,850,"MIXED","WIDOWED","NO"
"FEMALE",52,"Pomorskie","URBAN 20,000-100,000",3,NA,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",45,"Mazowieckie","RURAL AREAS",8,2500,"PLEASED","MARRIED","NO"
"FEMALE",18,"Malopolskie","RURAL AREAS",4,NA,"MOSTLY SATISFIED","SINGLE",NA
"MALE",22,"Dolnoslaskie","URBAN BELOW 20,000",4,-8,"MIXED","SINGLE","NO"
"MALE",38,"Mazowieckie","RURAL AREAS",2,2200,"PLEASED","MARRIED","NO"
"MALE",57,"Mazowieckie","RURAL AREAS",2,700,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",42,"Malopolskie","URBAN 500,000 AND OVER",6,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",25,"Mazowieckie","URBAN 100,000-200,000",0,750,"PLEASED","MARRIED","NO"
"FEMALE",24,"Kujawsko-pomorskie","URBAN 20,000-100,000",0,NA,"PLEASED","SINGLE",NA
"FEMALE",74,"Mazowieckie","RURAL AREAS",9,1070,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",30,"Wielkopolskie","RURAL AREAS",0,NA,"DELIGHTED","MARRIED","NO"
"MALE",64,"Pomorskie","URBAN BELOW 20,000",4,1500,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",57,"Wielkopolskie","RURAL AREAS",9,-8,"MIXED","MARRIED",NA
"FEMALE",64,"Podkarpackie","URBAN 100,000-200,000",5,1260,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",24,"Warminsko-mazurskie","RURAL AREAS",0,1050,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",24,"Kujawsko-pomorskie","RURAL AREAS",0,1500,"PLEASED","SINGLE","NO"
"MALE",19,"Podkarpackie","RURAL AREAS",0,-8,"PLEASED","SINGLE","NO"
"FEMALE",34,"Lubelskie","RURAL AREAS",0,-8,"PLEASED","MARRIED","NO"
"FEMALE",78,"Zachodnio-pomorskie","URBAN 200,000-500,000",13,NA,"PLEASED","MARRIED",NA
"MALE",55,"Lodzkie","URBAN 500,000 AND OVER",2,2000,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",42,"Zachodnio-pomorskie","URBAN 100,000-200,000",0,3000,"PLEASED","MARRIED","NO"
"MALE",43,"Podlaskie","URBAN 100,000-200,000",6,NA,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",75,"Mazowieckie","URBAN 100,000-200,000",6,1500,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",73,"Mazowieckie","URBAN 20,000-100,000",6,1200,"PLEASED","WIDOWED","NO"
"FEMALE",47,"Slaskie","URBAN 100,000-200,000",3,2000,"MOSTLY SATISFIED","DIVORCED","NO"
"MALE",64,"Warminsko-mazurskie","URBAN BELOW 20,000",1,2000,"PLEASED","MARRIED","NO"
"FEMALE",69,"Lubelskie","RURAL AREAS",7,1200,"MOSTLY SATISFIED","WIDOWED","NO"
"MALE",57,"Mazowieckie","RURAL AREAS",9,360,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",65,"Wielkopolskie","URBAN 100,000-200,000",8,2700,"MIXED","MARRIED","NO"
"FEMALE",81,"Swietokrzyskie","URBAN 20,000-100,000",6,1400,"PLEASED","MARRIED","NO"
"FEMALE",50,"Lubelskie","URBAN 100,000-200,000",4,1280,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",35,"Lubelskie","URBAN 100,000-200,000",0,3500,"DELIGHTED","MARRIED","NO"
"FEMALE",54,"Slaskie","URBAN 100,000-200,000",1,1600,"PLEASED","MARRIED","NO"
"FEMALE",38,"Slaskie","RURAL AREAS",2,NA,"MIXED","MARRIED","NO"
"FEMALE",37,"Slaskie","URBAN 200,000-500,000",6,2200,"MIXED","MARRIED","NO"
"MALE",30,"Malopolskie","RURAL AREAS",10,1800,"MIXED","SINGLE","YES"
"FEMALE",58,"Podkarpackie","RURAL AREAS",8,900,"PLEASED","MARRIED","NO"
"MALE",60,"Malopolskie","URBAN BELOW 20,000",3,1000,"PLEASED","MARRIED","NO"
"MALE",84,"Opolskie","URBAN BELOW 20,000",15,2121,"MOSTLY DISSATISFIED","WIDOWED","NO"
"MALE",56,"Warminsko-mazurskie","RURAL AREAS",5,1000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",57,"Mazowieckie","URBAN BELOW 20,000",3,-8,"PLEASED","MARRIED","NO"
"MALE",52,"Kujawsko-pomorskie","RURAL AREAS",3,-8,"PLEASED","MARRIED","NO"
"FEMALE",35,"Kujawsko-pomorskie","RURAL AREAS",2,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",62,"Wielkopolskie","RURAL AREAS",11,NA,"PLEASED","MARRIED",NA
"MALE",63,"Mazowieckie","RURAL AREAS",13,500,"MIXED","SINGLE","NO"
"FEMALE",38,"Swietokrzyskie","RURAL AREAS",2,-8,"MOSTLY DISSATISFIED","MARRIED","NO"
"FEMALE",50,"Wielkopolskie","RURAL AREAS",9,-8,"MIXED","MARRIED","NO"
"MALE",26,"Pomorskie","URBAN 20,000-100,000",0,-8,"PLEASED","SINGLE","NO"
"FEMALE",42,"Swietokrzyskie","URBAN BELOW 20,000",5,600,"MOSTLY SATISFIED","DIVORCED","NO"
"MALE",21,"Wielkopolskie","RURAL AREAS",0,NA,"PLEASED","SINGLE",NA
"MALE",46,"Pomorskie","RURAL AREAS",1,2000,"MIXED","MARRIED","NO"
"MALE",63,"Zachodnio-pomorskie","URBAN BELOW 20,000",5,4000,"PLEASED","MARRIED","NO"
"FEMALE",60,"Podlaskie","RURAL AREAS",9,700,"MIXED","MARRIED","NO"
"FEMALE",29,"Podlaskie","RURAL AREAS",14,2000,"UNHAPPY","SINGLE","NO"
"FEMALE",52,"Kujawsko-pomorskie","RURAL AREAS",7,250,"MIXED","MARRIED","NO"
"FEMALE",73,"Slaskie","URBAN 200,000-500,000",6,2050,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",48,"Warminsko-mazurskie","RURAL AREAS",6,-8,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",20,"Mazowieckie","RURAL AREAS",6,1000,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",25,"Kujawsko-pomorskie","URBAN 20,000-100,000",3,-8,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",56,"Dolnoslaskie","RURAL AREAS",8,1100,"MOSTLY SATISFIED","MARRIED","NO"
