"sex","age","region","placesize","depress","income","ls","marital","workab"
"MALE",49,"Podkarpackie","RURAL AREAS",5,600,"MOSTLY SATISFIED","LEGALLY SEPARATED","NO"
"FEMALE",48,"Slaskie","URBAN 20,000-100,000",7,2000,"PLEASED","MARRIED","NO"
"MALE",21,"Lodzkie","URBAN BELOW 20,000",0,NA,"MOSTLY SATISFIED","SINGLE",NA
"MALE",22,"Slaskie","URBAN 100,000-200,000",0,1550,"PLEASED","SINGLE","NO"
"MALE",56,"Dolnoslaskie","RURAL AREAS",8,1400,"MIXED","MARRIED","NO"
"MALE",63,"Mazowieckie","URBAN 100,000-200,000",13,1300,"PLEASED","MARRIED","NO"
"MALE",47,"Lodzkie","RURAL AREAS",7,-8,"PLEASED","MARRIED","NO"
"FEMALE",71,"Mazowieckie","RURAL AREAS",6,600,"MOSTLY DISSATISFIED","MARRIED","NO"
"FEMALE",30,"Lubelskie","URBAN 100,000-200,000",3,600,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",71,"Malopolskie","URBAN BELOW 20,000",7,1300,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",42,"Mazowieckie","URBAN 20,000-100,000",4,1000,"MIXED","DIVORCED","NO"
"MALE",76,"Swietokrzyskie","RURAL AREAS",21,970,"PLEASED","MARRIED","NO"
"FEMALE",69,"Kujawsko-pomorskie","URBAN 20,000-100,000",4,4200,"MOSTLY SATISFIED","WIDOWED","NO"
"MALE",60,"Mazowieckie","RURAL AREAS",9,750,"MOSTLY DISSATISFIED","MARRIED","NO"
"FEMALE",52,"Wielkopolskie","RURAL AREAS",3,-8,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",60,"Wielkopolskie","RURAL AREAS",9,NA,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",70,"Mazowieckie","URBAN 100,000-200,000",2,863,"PLEASED","MARRIED","NO"
"MALE",60,"Podlaskie","URBAN 100,000-200,000",8,700,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",35,"Pomorskie","URBAN 20,000-100,000",0,3300,"PLEASED","MARRIED","NO"
"MALE",27,"Wielkopolskie","URBAN 500,000 AND OVER",2,2000,"PLEASED","SINGLE","NO"
"MALE",18,"Lodzkie","RURAL AREAS",1,NA,"MOSTLY SATISFIED","SINGLE",NA
"FEMALE",38,"Podlaskie","URBAN 20,000-100,000",9,980,"MIXED","MARRIED","NO"
"FEMALE",21,"Wielkopolskie","RURAL AREAS",0,-8,"PLEASED","SINGLE",NA
"MALE",25,"Slaskie","URBAN 100,000-200,000",1,2490,"PLEASED","SINGLE","NO"
"FEMALE",49,"Mazowieckie","RURAL AREAS",4,500,"PLEASED","MARRIED","NO"
"MALE",73,"Zachodnio-pomorskie","URBAN 20,000-100,000",7,-8,"PLEASED","MARRIED","NO"
"MALE",71,"Swietokrzyskie","URBAN 100,000-200,000",12,1360,"MIXED","SINGLE","NO"
"MALE",20,"Warminsko-mazurskie","URBAN 100,000-200,000",1,-8,"PLEASED","SINGLE",NA
"MALE",70,"Lodzkie","RURAL AREAS",9,1000,"MIXED","MARRIED","NO"
"FEMALE",24,"Wielkopolskie","URBAN BELOW 20,000",4,500,"PLEASED","SINGLE",NA
"FEMALE",17,"Kujawsko-pomorskie","RURAL AREAS",0,-8,"PLEASED","SINGLE",NA
"MALE",64,"Mazowieckie","RURAL AREAS",9,500,"MIXED","MARRIED","NO"
"FEMALE",60,"Podlaskie","RURAL AREAS",11,612,"MIXED","MARRIED","NO"
"FEMALE",45,"Podkarpackie","RURAL AREAS",0,NA,"PLEASED","MARRIED","NO"
"MALE",57,"Mazowieckie","URBAN 100,000-200,000",5,1500,"PLEASED","MARRIED","NO"
"FEMALE",66,"Lubelskie","RURAL AREAS",5,-8,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",77,"Slaskie","RURAL AREAS",9,820,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",54,"Malopolskie","URBAN 100,000-200,000",9,NA,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",39,"Podkarpackie","RURAL AREAS",6,1000,"MIXED","MARRIED","NO"
"FEMALE",30,"Lubelskie","URBAN 20,000-100,000",2,1300,"MOSTLY SATISFIED","MARRIED",NA
"FEMALE",58,"Swietokrzyskie","RURAL AREAS",6,1300,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",40,"Lodzkie","RURAL AREAS",0,NA,"PLEASED","MARRIED","NO"
"MALE",68,"Pomorskie","URBAN BELOW 20,000",15,800,"PLEASED","MARRIED","NO"
"MALE",76,"Kujawsko-pomorskie","RURAL AREAS",13,750,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",64,"Malopolskie","RURAL AREAS",4,1466,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",52,"Slaskie","URBAN 100,000-200,000",2,2500,"PLEASED","MARRIED","NO"
"FEMALE",67,"Wielkopolskie","URBAN 100,000-200,000",11,2000,"PLEASED","MARRIED","NO"
"FEMALE",45,"Wielkopolskie","URBAN 100,000-200,000",0,3000,"PLEASED","MARRIED","NO"
"FEMALE",23,"Kujawsko-pomorskie","RURAL AREAS",0,NA,"PLEASED","SINGLE","NO"
"FEMALE",39,"Lubelskie","URBAN 20,000-100,000",1,1000,"PLEASED","MARRIED","NO"
"FEMALE",58,"Podkarpackie","RURAL AREAS",6,1600,"PLEASED","MARRIED","NO"
"FEMALE",27,"Pomorskie","URBAN 100,000-200,000",2,1800,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",52,"Kujawsko-pomorskie","URBAN 20,000-100,000",11,1200,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",19,"Mazowieckie","RURAL AREAS",0,NA,"PLEASED","SINGLE",NA
"MALE",24,"Slaskie","URBAN 200,000-500,000",0,NA,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",65,"Slaskie","URBAN 20,000-100,000",8,-8,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",64,"Kujawsko-pomorskie","RURAL AREAS",7,850,"PLEASED","MARRIED","NO"
"FEMALE",43,"Lubelskie","URBAN 20,000-100,000",1,1200,"PLEASED","MARRIED","NO"
"MALE",56,"Dolnoslaskie","RURAL AREAS",5,900,"PLEASED","MARRIED","NO"
"FEMALE",31,"Lodzkie","URBAN 500,000 AND OVER",2,1900,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",21,"Lubuskie","RURAL AREAS",0,NA,"PLEASED","SINGLE","NO"
"MALE",76,"Malopolskie","URBAN BELOW 20,000",7,1600,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",42,"Lodzkie","RURAL AREAS",NA,1500,"PLEASED","MARRIED","NO"
"FEMALE",49,"Lodzkie","URBAN BELOW 20,000",12,1150,"MOSTLY DISSATISFIED","MARRIED","NO"
"MALE",48,"Mazowieckie","RURAL AREAS",2,NA,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",31,"Slaskie","RURAL AREAS",1,NA,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",76,"Swietokrzyskie","RURAL AREAS",10,800,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",16,"Slaskie","URBAN 100,000-200,000",0,-8,"PLEASED","SINGLE",NA
"FEMALE",60,"Lodzkie","RURAL AREAS",4,1600,"MOSTLY SATISFIED","DIVORCED","NO"
"FEMALE",26,"Podkarpackie","RURAL AREAS",2,-8,"MIXED","SINGLE","NO"
"MALE",20,"Wielkopolskie","RURAL AREAS",1,NA,"PLEASED","SINGLE",NA
"FEMALE",48,"Opolskie","RURAL AREAS",2,-8,"DELIGHTED","MARRIED","NO"
"FEMALE",20,"Pomorskie","RURAL AREAS",3,-8,"PLEASED","SINGLE",NA
"MALE",30,"Wielkopolskie","RURAL AREAS",5,-8,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",58,"Lodzkie","URBAN 500,000 AND OVER",8,1200,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",62,"Malopolskie","RURAL AREAS",4,1313,"MIXED","WIDOWED","NO"
"MALE",77,"Malopolskie","URBAN 200,000-500,000",7,1796,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",22,"Swietokrzyskie","RURAL AREAS",1,-8,"PLEASED","SINGLE","NO"
"MALE",48,"Mazowieckie","RURAL AREAS",4,1620,"PLEASED","MARRIED","NO"
"FEMALE",26,"Dolnoslaskie","URBAN 500,000 AND OVER",1,2500,"PLEASED","SINGLE","NO"
"FEMALE",32,"Wielkopolskie","URBAN 100,000-200,000",6,1300,"MIXED","SINGLE","YES"
"MALE",64,"Warminsko-mazurskie","URBAN BELOW 20,000",1,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",51,"Mazowieckie","RURAL AREAS",NA,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",35,"Slaskie","URBAN 100,000-200,000",2,-8,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",34,"Slaskie","URBAN 200,000-500,000",0,3000,"MIXED","MARRIED","NO"
"FEMALE",86,"Malopolskie","RURAL AREAS",12,1600,"PLEASED","WIDOWED","NO"
"MALE",37,"Podkarpackie","RURAL AREAS",4,1100,"MIXED","MARRIED","NO"
"FEMALE",62,"Malopolskie","URBAN 500,000 AND OVER",14,2874,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",29,"Warminsko-mazurskie","URBAN 200,000-500,000",0,1800,"PLEASED","SINGLE","NO"
"MALE",50,"Lubuskie","RURAL AREAS",3,2600,"MOSTLY SATISFIED","MARRIED","YES"
"FEMALE",58,"Slaskie","RURAL AREAS",9,NA,"MOSTLY DISSATISFIED","WIDOWED","NO"
"FEMALE",63,"Kujawsko-pomorskie","RURAL AREAS",3,1200,"PLEASED","MARRIED","NO"
"FEMALE",28,"Warminsko-mazurskie","URBAN 100,000-200,000",0,2000,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",31,"Mazowieckie","RURAL AREAS",0,1180,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",65,"Wielkopolskie","RURAL AREAS",5,1012,"PLEASED","MARRIED","NO"
"FEMALE",30,"Slaskie","URBAN 100,000-200,000",1,1300,"PLEASED","MARRIED","NO"
"MALE",18,"Slaskie","URBAN 100,000-200,000",NA,NA,"MIXED","SINGLE",NA
"MALE",33,"Kujawsko-pomorskie","RURAL AREAS",4,1000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",32,"Wielkopolskie","URBAN 100,000-200,000",4,1500,"MOSTLY SATISFIED","MARRIED","YES"
"FEMALE",64,"Mazowieckie","URBAN 500,000 AND OVER",6,2500,"PLEASED","WIDOWED","NO"
"FEMALE",24,"Wielkopolskie","RURAL AREAS",0,-8,"MOSTLY SATISFIED","SINGLE","YES"
"MALE",38,"Lodzkie","RURAL AREAS",0,2000,"PLEASED","MARRIED","NO"
"MALE",68,"Kujawsko-pomorskie","RURAL AREAS",4,1580,"PLEASED","MARRIED","NO"
"FEMALE",33,"Lubuskie","URBAN BELOW 20,000",0,-8,"PLEASED","MARRIED","NO"
"MALE",65,"Slaskie","URBAN 20,000-100,000",6,2833,"PLEASED","MARRIED","NO"
"FEMALE",65,"Dolnoslaskie","URBAN 100,000-200,000",13,1200,"MIXED","MARRIED","NO"
"MALE",48,"Wielkopolskie","RURAL AREAS",4,1620,"PLEASED","MARRIED","NO"
"FEMALE",76,"Mazowieckie","URBAN 100,000-200,000",12,1140,"MOSTLY SATISFIED","WIDOWED","NO"
"MALE",36,"Kujawsko-pomorskie","RURAL AREAS",0,2500,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",23,"Swietokrzyskie","RURAL AREAS",0,700,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",52,"Lodzkie","URBAN 100,000-200,000",4,1500,"PLEASED","MARRIED","NO"
"MALE",75,"Lubelskie","URBAN 100,000-200,000",10,1700,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",75,"Dolnoslaskie","URBAN 500,000 AND OVER",10,1600,"MOSTLY DISSATISFIED","WIDOWED","NO"
"MALE",22,"Mazowieckie","RURAL AREAS",0,1300,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",23,"Wielkopolskie","RURAL AREAS",0,1800,"PLEASED","SINGLE","NO"
"FEMALE",52,"Mazowieckie","URBAN 100,000-200,000",9,2800,"MIXED","SINGLE","NO"
"FEMALE",61,"Pomorskie","URBAN 100,000-200,000",0,2000,"PLEASED","MARRIED","NO"
"MALE",24,"Mazowieckie","RURAL AREAS",0,1200,"DELIGHTED","SINGLE","YES"
"MALE",70,"Dolnoslaskie","URBAN 100,000-200,000",10,1000,"MIXED","MARRIED","NO"
"MALE",74,"Slaskie","RURAL AREAS",3,1200,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",39,"Warminsko-mazurskie","RURAL AREAS",2,NA,"PLEASED","SINGLE","NO"
"FEMALE",37,"Lubelskie","RURAL AREAS",1,NA,"PLEASED","MARRIED","NO"
"MALE",35,"Wielkopolskie","URBAN BELOW 20,000",0,1200,"PLEASED","MARRIED","NO"
"FEMALE",32,"Swietokrzyskie","URBAN 100,000-200,000",1,2000,"PLEASED","MARRIED","NO"
"MALE",66,"Slaskie","RURAL AREAS",0,1600,"MOSTLY DISSATISFIED","SINGLE","NO"
"FEMALE",66,"Pomorskie","URBAN 20,000-100,000",8,1200,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",72,"Lubelskie","RURAL AREAS",12,950,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",63,"Kujawsko-pomorskie","URBAN BELOW 20,000",2,-8,"PLEASED","MARRIED","NO"
"FEMALE",74,"Warminsko-mazurskie","RURAL AREAS",11,528,"MOSTLY SATISFIED","WIDOWED","NO"
"MALE",27,"Wielkopolskie","RURAL AREAS",8,3160,"PLEASED","SINGLE","NO"
"MALE",30,"Lubelskie","URBAN 100,000-200,000",3,5500,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",44,"Mazowieckie","RURAL AREAS",4,2500,"PLEASED","MARRIED",NA
"MALE",68,"Pomorskie","URBAN 20,000-100,000",15,710,"MIXED","MARRIED","NO"
"FEMALE",17,"Pomorskie","URBAN 20,000-100,000",0,NA,"PLEASED","SINGLE",NA
"FEMALE",82,"Slaskie","URBAN 100,000-200,000",14,2000,"PLEASED","WIDOWED","NO"
"FEMALE",68,"Dolnoslaskie","URBAN 500,000 AND OVER",8,1460,"MIXED","SINGLE","NO"
"MALE",53,"Zachodnio-pomorskie","URBAN 20,000-100,000",7,1130,"MOSTLY SATISFIED","DIVORCED","NO"
"MALE",35,"Mazowieckie","RURAL AREAS",2,2200,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",28,"Lubelskie","RURAL AREAS",1,1500,"PLEASED","MARRIED","NO"
"FEMALE",76,"Lubelskie","RURAL AREAS",8,1050,"PLEASED","WIDOWED","NO"
"FEMALE",58,"Malopolskie","URBAN 500,000 AND OVER",3,3500,"PLEASED","MARRIED",NA
"FEMALE",77,"Warminsko-mazurskie","URBAN BELOW 20,000",9,1264,"MIXED","WIDOWED","NO"
"MALE",17,"Wielkopolskie","URBAN 100,000-200,000",0,-8,"MOSTLY SATISFIED","SINGLE",NA
"MALE",58,"Mazowieckie","URBAN 500,000 AND OVER",7,4771,"PLEASED","MARRIED","NO"
"MALE",25,"Swietokrzyskie","RURAL AREAS",0,NA,"MIXED","SINGLE","NO"
"FEMALE",72,"Slaskie","URBAN 200,000-500,000",11,1500,"PLEASED","WIDOWED","NO"
"FEMALE",22,"Mazowieckie","RURAL AREAS",1,600,"PLEASED","SINGLE","NO"
"MALE",39,"Malopolskie","RURAL AREAS",9,800,"MIXED","MARRIED","NO"
"FEMALE",60,"Warminsko-mazurskie","URBAN 100,000-200,000",11,1000,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",62,"Podlaskie","RURAL AREAS",7,750,"MIXED","SINGLE","NO"
"MALE",46,"Lodzkie","RURAL AREAS",7,3600,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",45,"Malopolskie","URBAN BELOW 20,000",9,1100,"MOSTLY DISSATISFIED","MARRIED","NO"
"FEMALE",63,"Kujawsko-pomorskie","RURAL AREAS",3,1600,"MIXED","SINGLE","NO"
"MALE",22,"Mazowieckie","RURAL AREAS",0,1500,"PLEASED","SINGLE","NO"
"MALE",41,"Podlaskie","RURAL AREAS",4,1500,"MOSTLY DISSATISFIED","DE FACTO SEPARATED","NO"
"FEMALE",82,"Warminsko-mazurskie","URBAN 100,000-200,000",6,1670,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",51,"Dolnoslaskie","URBAN BELOW 20,000",3,520,"MOSTLY DISSATISFIED","SINGLE","NO"
"FEMALE",71,"Swietokrzyskie","URBAN BELOW 20,000",11,NA,"MOSTLY DISSATISFIED","MARRIED","NO"
"MALE",35,"Kujawsko-pomorskie","URBAN 100,000-200,000",0,1500,"PLEASED","MARRIED","NO"
"FEMALE",55,"Wielkopolskie","URBAN 100,000-200,000",4,1000,"PLEASED","MARRIED","NO"
"MALE",27,"Swietokrzyskie","RURAL AREAS",0,1000,"MIXED","SINGLE","NO"
"FEMALE",50,"Mazowieckie","RURAL AREAS",4,1300,"PLEASED","MARRIED","NO"
"FEMALE",21,"Slaskie","URBAN 100,000-200,000",0,1100,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",36,"Lodzkie","RURAL AREAS",9,-8,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",54,"Zachodnio-pomorskie","URBAN 20,000-100,000",4,1100,"MIXED","SINGLE","NO"
"MALE",29,"Dolnoslaskie","URBAN 100,000-200,000",1,2000,"PLEASED","SINGLE","NO"
"FEMALE",51,"Swietokrzyskie","RURAL AREAS",5,600,"MOSTLY DISSATISFIED","MARRIED","NO"
"FEMALE",64,"Opolskie","URBAN 100,000-200,000",7,1030,"MOSTLY DISSATISFIED","WIDOWED","NO"
"FEMALE",37,"Slaskie","RURAL AREAS",1,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",82,"Podlaskie","RURAL AREAS",17,900,"MIXED","WIDOWED","NO"
"FEMALE",26,"Wielkopolskie","URBAN BELOW 20,000",5,2100,"PLEASED","SINGLE","NO"
"MALE",45,"Slaskie","URBAN 200,000-500,000",1,-8,"PLEASED","MARRIED","NO"
"MALE",38,"Podlaskie","RURAL AREAS",3,1000,"PLEASED","MARRIED","NO"
"FEMALE",58,"Podkarpackie","URBAN BELOW 20,000",8,610,"MOSTLY DISSATISFIED","MARRIED","NO"
"MALE",36,"Slaskie","URBAN 200,000-500,000",0,-8,"PLEASED","MARRIED","NO"
"FEMALE",46,"Mazowieckie","URBAN BELOW 20,000",2,450,"DELIGHTED","MARRIED","NO"
"MALE",38,"Zachodnio-pomorskie","RURAL AREAS",1,2500,"PLEASED","MARRIED","NO"
"FEMALE",35,"Mazowieckie","RURAL AREAS",6,NA,"PLEASED","MARRIED","NO"
"FEMALE",70,"Lodzkie","RURAL AREAS",8,1100,"MOSTLY SATISFIED","WIDOWED","NO"
"MALE",30,"Slaskie","URBAN 20,000-100,000",3,2800,"TERRIBLE","MARRIED","NO"
"FEMALE",64,"Pomorskie","URBAN 20,000-100,000",7,1150,"PLEASED","MARRIED","NO"
"MALE",38,"Malopolskie","RURAL AREAS",9,800,"MIXED","WIDOWED","NO"
"FEMALE",41,"Malopolskie","RURAL AREAS",0,NA,"PLEASED","MARRIED","NO"
"MALE",20,"Pomorskie","URBAN 100,000-200,000",0,470,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",47,"Lodzkie","RURAL AREAS",18,830,"MOSTLY DISSATISFIED","WIDOWED","NO"
"FEMALE",20,"Podlaskie","RURAL AREAS",0,NA,"PLEASED","SINGLE","NO"
"FEMALE",43,"Zachodnio-pomorskie","URBAN 100,000-200,000",1,520,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",72,"Wielkopolskie","URBAN 100,000-200,000",5,1685,"PLEASED","MARRIED","NO"
"MALE",21,"Malopolskie","RURAL AREAS",2,-8,"MIXED","SINGLE","NO"
"FEMALE",38,"Podkarpackie","RURAL AREAS",6,1200,"PLEASED","MARRIED","YES"
"MALE",53,"Lodzkie","RURAL AREAS",4,-8,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",47,"Dolnoslaskie","URBAN 100,000-200,000",3,NA,"PLEASED","WIDOWED","NO"
"FEMALE",43,"Malopolskie","RURAL AREAS",0,1250,"PLEASED","MARRIED","NO"
"FEMALE",19,"Lubelskie","RURAL AREAS",1,-8,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",78,"Swietokrzyskie","URBAN 100,000-200,000",6,1800,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",38,"Dolnoslaskie","URBAN BELOW 20,000",1,-8,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",75,"Lodzkie","URBAN 100,000-200,000",5,720,"MIXED","MARRIED","NO"
"FEMALE",51,"Lodzkie","URBAN BELOW 20,000",6,600,"MIXED","WIDOWED","NO"
"MALE",34,"Slaskie","RURAL AREAS",5,500,"MIXED","SINGLE","NO"
"MALE",72,"Malopolskie","RURAL AREAS",10,NA,"PLEASED","MARRIED","NO"
"MALE",61,"Wielkopolskie","URBAN 500,000 AND OVER",4,1500,"PLEASED","MARRIED","NO"
"MALE",75,"Mazowieckie","RURAL AREAS",16,1500,"MIXED","WIDOWED","NO"
"FEMALE",30,"Lodzkie","RURAL AREAS",0,NA,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",21,"Podlaskie","URBAN BELOW 20,000",0,900,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",21,"Podkarpackie","URBAN 200,000-500,000",0,690,"PLEASED","SINGLE","NO"
"MALE",96,"Kujawsko-pomorskie","RURAL AREAS",15,1300,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",27,"Malopolskie","RURAL AREAS",14,600,"MOSTLY DISSATISFIED","MARRIED",NA
"MALE",25,"Kujawsko-pomorskie","URBAN BELOW 20,000",6,1181,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",25,"Mazowieckie","URBAN 500,000 AND OVER",7,1100,"MOSTLY DISSATISFIED","MARRIED","NO"
